NAME	A	B	C	sobol
UP	0.2	1.0	450.0
DOWN	-0.2	0.0	30.0
1	-0.025	0.5625	56.25
2	-0.075	0.1875	423.75
3	0.125	0.6875	213.75
4	0.025	0.4375	108.75
5	-0.175	0.9375	318.75
6	-0.1625	0.46875	384.375
7	0.0375	0.96875	174.375
8	0.1375	0.21875	69.375
9	-0.0625	0.71875	279.375
10	-0.0125	0.09375	226.875
11	-0.025	0.8125	423.75
12	0.025	0.4375	371.25
13	-0.175	0.9375	161.25
14	0.125	0.6875	266.25
15	-0.075	0.1875	56.25
16	-0.0375	0.28125	174.375
17	0.1625	0.78125	384.375
18	-0.1375	0.53125	69.375
19	0.0625	0.03125	279.375
20	-0.0875	0.65625	331.875
21	-0.025	0.5625	56.25
22	0.025	0.1875	423.75
23	-0.175	0.6875	213.75
24	0.125	0.4375	108.75
25	-0.075	0.9375	318.75
26	-0.0375	0.46875	384.375
27	0.1625	0.96875	174.375
28	-0.1375	0.21875	69.375
29	0.0625	0.71875	279.375
30	-0.0875	0.09375	226.875
31	-0.025	0.8125	56.25
32	-0.075	0.4375	423.75
33	0.125	0.9375	213.75
34	0.025	0.6875	108.75
35	-0.175	0.1875	318.75
36	-0.1625	0.28125	384.375
37	0.0375	0.78125	174.375
38	0.1375	0.53125	69.375
39	-0.0625	0.03125	279.375
40	-0.0125	0.65625	226.875
41	-0.025	0.5625	423.75
42	-0.075	0.1875	371.25
43	0.125	0.6875	161.25
44	0.025	0.4375	266.25
45	-0.175	0.9375	56.25
46	-0.1625	0.46875	174.375
47	0.0375	0.96875	384.375
48	0.1375	0.21875	69.375
49	-0.0625	0.71875	279.375
50	-0.0125	0.09375	331.875
